R_ID,Zone,Village,Resource,technology,owner,Existing_Cap_MW,Existing_Cap_MWh,New_Build,Max_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,STOR,VRE,RE,THERM
1,1,1,pltd_bel1,diesel,village_coop,0.2773,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
2,1,1,plts_bel1,solar,village_coop,0.0,0,1,3246.8,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
3,1,1,batt_bel1,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
4,1,2,pltd_bel2,diesel,village_coop,0.846,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
5,1,2,plts_bel2,solar,village_coop,0.0,0,1,4302.8,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
6,1,2,batt_bel2,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
7,1,3,pltd_bel3,diesel,village_coop,0.842,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
8,1,3,plts_bel3,solar,village_coop,0.0,0,1,4130.5,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
9,1,3,batt_bel3,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
10,1,4,pltd_bel4,diesel,village_coop,0.3891,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
11,1,4,plts_bel4,solar,village_coop,0.0,0,1,4337.5,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
12,1,4,batt_bel4,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
13,1,5,pltd_bel5,diesel,village_coop,0.4381,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
14,1,5,plts_bel5,solar,village_coop,0.0,0,1,4249.6,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
15,1,5,batt_bel5,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
16,1,6,pltd_bel6,diesel,village_coop,0.3851,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
17,1,6,plts_bel6,solar,village_coop,0.0,0,1,3246.8,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
18,1,6,batt_bel6,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
19,1,7,pltd_bel7,diesel,village_coop,0.3586,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
